timestamp,exchange,symbol,last_price,mark_price,index_price,funding_rate,funding_interval_h,funding_rate_8h
2026-03-10T02:04:39+0000,gate,TON_USDT,1.33,1.33,1.3305,-0.000062,4.0,-0.00012400
2026-03-10T02:04:44+0000,phemex,TONUSDT,1.3295,1.3295,1.33041715,-0.00000799,8.0,-0.00000799
2026-03-10T02:05:55+0000,gate,TON_USDT,1.3278,1.3278,1.3287,-0.000063,4.0,-0.00012600
2026-03-10T02:06:01+0000,phemex,TONUSDT,1.3278,1.3278,1.32842293,-0.00000729,8.0,-0.00000729
2026-03-10T02:07:11+0000,gate,TON_USDT,1.3287,1.3287,1.3296,-0.000063,4.0,-0.00012600
2026-03-10T02:07:16+0000,phemex,TONUSDT,1.3288,1.3288,1.32942062,-0.00000359,8.0,-0.00000359
2026-03-10T02:08:26+0000,gate,TON_USDT,1.3286,1.3286,1.3289,-0.000064,4.0,-0.00012800
2026-03-10T02:08:32+0000,phemex,TONUSDT,1.3285,1.329,1.32981715,-0.00000513,8.0,-0.00000513
2026-03-10T02:54:07+0000,gate,TON_USDT,1.3371,1.3374,1.3388,-0.000079,4.0,-0.00015800
2026-03-10T02:54:12+0000,phemex,TONUSDT,1.3376,1.3376,1.33843217,0.00004795,8.0,0.00004795
2026-03-10T02:55:22+0000,gate,TON_USDT,1.3372,1.3372,1.3387,-0.000081,4.0,-0.00016200
2026-03-10T02:55:28+0000,phemex,TONUSDT,1.3369,1.3372,1.33801946,0.00004857,8.0,0.00004857
2026-03-10T03:02:01+0000,gate,TON_USDT,1.3364,1.3369,1.3379,-0.000084,4.0,-0.00016800
2026-03-10T03:02:07+0000,phemex,TONUSDT,1.3372,1.3372,1.33801079,0.00005019,8.0,0.00005019
2026-03-10T03:03:17+0000,gate,TON_USDT,1.336,1.336,1.3367,-0.000085,4.0,-0.00017000
2026-03-10T03:03:22+0000,phemex,TONUSDT,1.336,1.336,1.33642408,0.00005508,8.0,0.00005508
2026-03-10T03:04:33+0000,gate,TON_USDT,1.3347,1.3354,1.3365,-0.000086,4.0,-0.00017200
2026-03-10T03:04:38+0000,phemex,TONUSDT,1.3353,1.3356,1.33641137,0.00005832,8.0,0.00005832
2026-03-10T03:22:27+0000,gate,TON_USDT,1.3343,1.3345,1.3357,-0.000081,4.0,-0.00016200
2026-03-10T03:22:32+0000,phemex,TONUSDT,1.335,1.335,1.33600038,0.00004927,8.0,0.00004927
2026-03-10T03:26:06+0000,gate,TON_USDT,1.3346,1.3346,1.3355,-0.00008,4.0,-0.00016000
2026-03-10T03:26:11+0000,phemex,TONUSDT,1.3346,1.3347,1.33581772,0.00003078,8.0,0.00003078
2026-03-10T03:36:18+0000,gate,TON_USDT,1.3361,1.3364,1.3374,-0.00008,4.0,-0.00016000
2026-03-10T03:36:23+0000,phemex,TONUSDT,1.3366,1.3366,1.33781715,0.00001726,8.0,0.00001726
2026-03-10T03:45:27+0000,gate,TON_USDT,1.3361,1.3361,1.3374,-0.000085,4.0,-0.00017000
2026-03-10T03:45:33+0000,phemex,TONUSDT,1.3362,1.3362,1.33699749,0.00001258,8.0,0.00001258
2026-03-10T03:53:13+0000,gate,TON_USDT,1.3358,1.3358,1.3367,-0.000081,4.0,-0.00016200
2026-03-10T03:53:22+0000,phemex,TONUSDT,1.3353,1.3357,1.33699749,-0.00001273,8.0,-0.00001273
2026-03-10T03:54:32+0000,gate,TON_USDT,1.3353,1.3354,1.3365,-0.00008,4.0,-0.00016000
2026-03-10T03:54:38+0000,phemex,TONUSDT,1.3356,1.3356,1.33682004,-0.00001396,8.0,-0.00001396
2026-03-10T03:55:48+0000,gate,TON_USDT,1.336,1.3364,1.3374,-0.00008,4.0,-0.00016000
2026-03-10T03:55:53+0000,phemex,TONUSDT,1.3367,1.3367,1.33780848,-0.00001785,8.0,-0.00001785
2026-03-10T03:57:03+0000,gate,TON_USDT,1.3365,1.3365,1.3374,-0.000077,4.0,-0.00015400
2026-03-10T03:57:09+0000,phemex,TONUSDT,1.3367,1.3367,1.33741283,-0.00001605,8.0,-0.00001605
