timestamp,exchange,symbol,last_price,mark_price,index_price,funding_rate,funding_interval_h,funding_rate_8h
2026-03-20T02:09:56+0000,gate,VVV_USDT,5.696,5.696,5.699,0.000042,4.0,0.00008400
2026-03-20T02:10:06+0000,phemex,VVVUSDT,5.695,5.695,5.69957,-0.00002282,8.0,-0.00002282
2026-03-20T02:11:15+0000,gate,VVV_USDT,5.698,5.698,5.699,0.000048,4.0,0.00009600
2026-03-20T02:11:24+0000,phemex,VVVUSDT,5.695,5.695,5.69941,-0.00002077,8.0,-0.00002077
2026-03-20T02:12:33+0000,gate,VVV_USDT,5.695,5.695,5.696,0.00005,4.0,0.00010000
2026-03-20T02:12:43+0000,phemex,VVVUSDT,5.689,5.689,5.69435,-0.00001886,8.0,-0.00001886
2026-03-20T02:13:52+0000,gate,VVV_USDT,5.675,5.669,5.672,0.000048,4.0,0.00009600
2026-03-20T02:14:01+0000,phemex,VVVUSDT,5.657,5.668,5.67517,-0.00001556,8.0,-0.00001556
2026-03-20T02:16:27+0000,gate,VVV_USDT,5.68,5.684,5.684,0.000046,4.0,0.00009200
2026-03-20T02:16:40+0000,phemex,VVVUSDT,5.679,5.679,5.68557,-0.00001875,8.0,-0.00001875
2026-03-20T02:17:49+0000,gate,VVV_USDT,5.677,5.677,5.682,0.000045,4.0,0.00009000
2026-03-20T02:18:04+0000,phemex,VVVUSDT,5.664,5.672,5.68056,-0.00001452,8.0,-0.00001452
2026-03-20T02:20:18+0000,gate,VVV_USDT,5.666,5.673,5.678,0.000038,4.0,0.00007600
2026-03-20T02:20:27+0000,phemex,VVVUSDT,5.668,5.671,5.68129,-0.00002055,8.0,-0.00002055
2026-03-20T02:21:35+0000,gate,VVV_USDT,5.682,5.686,5.691,0.00004,4.0,0.00008000
2026-03-20T02:21:45+0000,phemex,VVVUSDT,5.668,5.677,5.687,-0.00001321,8.0,-0.00001321
2026-03-20T02:24:10+0000,gate,VVV_USDT,5.66,5.662,5.67,0.000027,4.0,0.00005400
2026-03-20T02:24:19+0000,phemex,VVVUSDT,5.665,5.665,5.66942,-0.0000343,8.0,-0.00003430
2026-03-20T02:25:28+0000,gate,VVV_USDT,5.655,5.655,5.66,0.000023,4.0,0.00004600
2026-03-20T02:25:37+0000,phemex,VVVUSDT,5.665,5.654,5.66393,-0.00004016,8.0,-0.00004016
2026-03-20T02:26:46+0000,gate,VVV_USDT,5.65,5.65,5.652,0.000016,4.0,0.00003200
2026-03-20T02:26:56+0000,phemex,VVVUSDT,5.654,5.652,5.65264,-0.000038,8.0,-0.00003800
2026-03-20T02:29:21+0000,gate,VVV_USDT,5.64,5.64,5.644,0.000001,4.0,0.00000200
2026-03-20T02:29:31+0000,phemex,VVVUSDT,5.636,5.636,5.64196,-0.00002321,8.0,-0.00002321
2026-03-20T02:30:39+0000,gate,VVV_USDT,5.63,5.644,5.644,0.000008,4.0,0.00001600
2026-03-20T02:30:48+0000,phemex,VVVUSDT,5.644,5.641,5.64153,-0.00001628,8.0,-0.00001628
2026-03-20T02:34:30+0000,gate,VVV_USDT,5.654,5.649,5.65,-0.000002,4.0,-0.00000400
2026-03-20T02:34:39+0000,phemex,VVVUSDT,5.647,5.647,5.6533,-0.00001001,8.0,-0.00001001
2026-03-20T02:35:47+0000,gate,VVV_USDT,5.645,5.645,5.649,-0.00001,4.0,-0.00002000
2026-03-20T02:36:01+0000,phemex,VVVUSDT,5.637,5.637,5.64663,-0.00002544,8.0,-0.00002544
2026-03-20T02:38:26+0000,gate,VVV_USDT,5.661,5.656,5.657,-0.000004,4.0,-0.00000800
2026-03-20T02:38:36+0000,phemex,VVVUSDT,5.657,5.657,5.66132,-0.00001227,8.0,-0.00001227
2026-03-20T02:39:45+0000,gate,VVV_USDT,5.657,5.658,5.66,-0.000001,4.0,-0.00000200
2026-03-20T02:39:54+0000,phemex,VVVUSDT,5.654,5.654,5.65844,-0.00000586,8.0,-0.00000586
2026-03-20T02:43:31+0000,gate,VVV_USDT,5.667,5.667,5.668,0.000002,4.0,0.00000400
2026-03-20T02:43:41+0000,phemex,VVVUSDT,5.667,5.667,5.66781,0.00001175,8.0,0.00001175
2026-03-20T02:46:05+0000,gate,VVV_USDT,5.64,5.648,5.652,-0.000009,4.0,-0.00001800
2026-03-20T02:46:14+0000,phemex,VVVUSDT,5.641,5.641,5.64647,0.00000023,8.0,0.00000023
2026-03-20T02:47:23+0000,gate,VVV_USDT,5.645,5.642,5.645,-0.000006,4.0,-0.00001200
