timestamp,exchange,symbol,last_price,mark_price,index_price,funding_rate,funding_interval_h,funding_rate_8h
2026-06-21T04:17:45+0000,gate,ORDI_USDT,3.326,3.326,3.3294,0.00005,4.0,0.00010000
2026-06-21T04:17:48+0000,phemex,ORDIUSDT,3.327,3.327,3.32986364,0.00005,4.0,0.00010000
2026-06-21T04:18:59+0000,gate,ORDI_USDT,3.327,3.327,3.3292,0.00005,4.0,0.00010000
2026-06-21T04:19:02+0000,phemex,ORDIUSDT,3.324,3.326,3.32922727,0.00005,4.0,0.00010000
2026-06-21T04:20:12+0000,gate,ORDI_USDT,3.324,3.326,3.3288,0.000038,4.0,0.00007600
2026-06-21T04:20:15+0000,phemex,ORDIUSDT,3.321,3.326,3.32940909,0.00005,4.0,0.00010000
2026-06-21T04:21:26+0000,gate,ORDI_USDT,3.328,3.328,3.3294,0.00005,4.0,0.00010000
2026-06-21T04:21:29+0000,phemex,ORDIUSDT,3.328,3.328,3.33077273,0.00005,4.0,0.00010000
2026-06-21T09:51:43+0000,gate,ORDI_USDT,3.375,3.375,3.3762,0.00005,4.0,0.00010000
2026-06-21T09:51:47+0000,phemex,ORDIUSDT,3.373,3.375,3.37795455,0.00005,4.0,0.00010000
2026-06-21T09:53:01+0000,gate,ORDI_USDT,3.373,3.374,3.3764,0.00005,4.0,0.00010000
2026-06-21T09:53:06+0000,phemex,ORDIUSDT,3.371,3.372,3.37522727,0.00005,4.0,0.00010000
2026-06-21T09:54:19+0000,gate,ORDI_USDT,3.37,3.371,3.3732,0.00005,4.0,0.00010000
2026-06-21T09:54:24+0000,phemex,ORDIUSDT,3.371,3.371,3.374,0.00005,4.0,0.00010000
2026-06-21T09:55:39+0000,gate,ORDI_USDT,3.373,3.373,3.3746,0.00005,4.0,0.00010000
2026-06-21T09:55:43+0000,phemex,ORDIUSDT,3.372,3.373,3.37604545,0.00005,4.0,0.00010000
2026-06-21T14:12:40+0000,gate,ORDI_USDT,3.338,3.339,3.3432,0.00005,4.0,0.00010000
2026-06-21T14:12:45+0000,phemex,ORDIUSDT,3.338,3.338,3.34240909,0.00005,4.0,0.00010000
2026-06-21T14:14:00+0000,gate,ORDI_USDT,3.339,3.339,3.342,0.00005,4.0,0.00010000
2026-06-21T14:14:05+0000,phemex,ORDIUSDT,3.335,3.337,3.34136364,0.00005,4.0,0.00010000
2026-06-21T14:15:20+0000,gate,ORDI_USDT,3.337,3.337,3.3416,0.00005,4.0,0.00010000
2026-06-21T14:15:25+0000,phemex,ORDIUSDT,3.335,3.335,3.33945455,0.00005,4.0,0.00010000
2026-06-21T14:16:40+0000,gate,ORDI_USDT,3.33,3.33,3.3358,0.000046,4.0,0.00009200
2026-06-21T14:16:45+0000,phemex,ORDIUSDT,3.331,3.331,3.33363636,0.00005,4.0,0.00010000
